1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.2334,0.74829,1.1868,1.2296,0.34404,-0.2771,0.063062,-0.26234,1.0001,0.71182,1.0158,-0.27978,-0.2771,-0.9604,1
0.3115,-0.050836,0.11246,0.33496,-0.23255,-0.36182,0.60849,0.43005,0.42372,0.15398,-0.71196,-1.2789,-0.36182,-0.428,1
1.2209,0.73525,1.1019,1.2163,-0.53927,-0.3632,-0.075908,-0.39493,-0.20479,0.79826,0.97865,-0.61551,-0.3632,-0.95351,1
1.5309,0.7397,1.4456,1.2208,1.1816,-0.36249,-0.48018,-0.75309,-0.60864,1.8009,0.57985,-1.5825,-0.36249,-0.95587,1
-2.1396,-2.4396,-2.4137,-2.3398,-0.84161,-0.61476,1.0029,1.2153,-1.3767,-2.2637,-2.6427,-0.15762,-0.61476,3.0809,1
-1.5208,-0.31073,-1.4218,-1.4418,-0.49604,0.31151,-0.92803,-0.78175,-0.53463,-0.86713,-0.77571,0.28365,0.31151,1.3608,0
-0.60882,-1.1133,-1.0073,-0.85469,-1.3747,-0.36243,1.2145,1.3898,-0.08793,-0.49464,-1.0581,-0.76513,-0.36243,0.61163,0
-1.1593,0.47516,-0.78305,-1.1514,-0.0036853,0.30886,-1.037,-0.89457,-0.11477,-0.77054,-0.75785,-0.057743,0.30886,0.96374,0
0.92042,0.74076,1.1117,0.92533,1.2825,-0.026619,-0.63962,-0.80946,0.15603,1.2365,0.99718,-0.40852,-0.026619,-0.79647,0
-0.60904,1.7988,0.48744,1.5175,0.91833,2.6584,-2.1321,-1.3746,-0.28222,-0.058755,0.67488,1.3638,2.6584,-1.102,0
-0.58213,2.0571,0.91683,1.8821,1.2813,2.9903,-2.1742,-1.3543,-0.14345,0.67005,0.56224,0.18562,2.9903,-1.2641,0
-0.63712,1.7502,0.17788,-0.29491,1.62,2.882,-1.6107,-1.2286,1.0455,0.11991,0.37284,0.04319,2.882,0.060914,0
-0.62099,1.7781,0.25927,-0.27589,1.5347,3.1492,-1.7127,-1.2588,0.0037957,-0.077726,0.49489,0.98779,3.1492,0.044362,0
-0.61517,1.5767,-0.054154,-0.26905,1.4271,2.3174,-1.2047,-1.0085,4.201,0.30728,-0.012022,-0.32178,2.3174,0.038434,0
-0.61937,2.0451,0.7208,0.021842,1.6198,3.3183,-2.0169,-1.3338,-0.88488,-0.71599,0.15341,1.4792,3.3183,-0.19941,0
-0.60896,1.9049,0.6304,0.034822,1.537,2.9941,-1.7226,-1.1743,0.53136,1.3767,0.92104,-0.26793,2.9941,-0.20942,0
-0.62857,1.765,0.044532,-0.58003,1.6353,2.64,-1.3711,-1.1264,0.30555,0.50176,0.25662,-0.55336,2.64,0.3251,0
0.30482,-0.057987,0.14159,0.32771,-0.20588,-0.36311,0.15788,-0.077422,0.55019,0.27078,-0.45007,-1.0524,-0.36311,-0.42299,0
-0.62857,1.765,0.044532,-0.58003,1.6493,2.64,-1.3865,-1.1279,0.19349,0.47279,0.27042,-0.30524,2.64,0.3251,0
-0.61697,2.2608,0.42317,-0.56716,1.8443,3.321,-1.6908,-1.2602,2.0972,0.54342,0.14448,-0.87077,3.321,0.3125,0
0.91974,0.58117,1.1468,0.92459,1.7337,-0.02678,-0.85132,-0.93493,-0.2819,1.4364,2.0978,-0.94685,-0.02678,-0.79606,0
1.5034,0.97616,1.7315,1.4882,1.7264,-0.36679,-1.0398,-1.1313,-0.35554,0.49883,0.73364,0.43215,-0.36679,-1.0881,0
-1.2264,0.46518,-0.99204,-1.1582,0.078218,1.3952,-1.4652,-1.2171,-0.87334,-0.26011,-0.85829,-0.79578,1.3952,0.97241,0
-0.61232,1.7931,0.10359,-0.56201,1.2566,2.9907,-1.6453,-1.2321,0.076308,0.67074,1.0454,0.25319,2.9907,0.30746,0
-0.91401,2.065,0.31701,-0.26089,1.8771,3.3305,-1.7039,-1.2537,0.12576,0.94719,0.59257,-0.94706,3.3305,0.031392,0
-0.61433,-0.85461,-0.70368,-0.86041,0.037469,-0.36371,-0.12251,-0.19782,-0.57245,-0.47262,-0.4959,0.033261,-0.36371,0.61797,0
